word,doc_freq, idx_in_vocab_pkl
s,1287377,1896943
also,1000157,3162509
born,887711,550742
state,726286,383781
first,704409,3513983
one,679943,1777148
may,634962,603222
known,614822,1623434
includ,583703,310303
american,575061,3832470
name,568203,1577503
unit,541950,1800179
new,538673,1580706
nation,502229,1291308
play,501281,1354976
year,488159,1342434
locat,487058,944981
two,464627,533238
famili,461585,3423076
counti,457343,380808
use,431708,1483810
district,429894,3372208
refer,420854,2063811
part,413664,2068478
found,402007,2666591
world,388021,277332
member,387514,1848110
time,375998,437847
work,372919,1346113
citi,372085,2401621
south,358497,2410547
footbal,351525,1041614
villag,338565,1415739
univers,331389,799806
serv,326057,1909185
place,323877,2342835
releas,318709,2015886
area,318463,1315733
former,310396,1864738
popul,302782,3014866
north,302290,2464720
record,296516,3071336
film,295215,2235865
second,289698,1405239
base,285107,13268
origin,282992,549888
follow,281508,402612
team,279990,1993500
sinc,278304,3029511
current,277762,768623
three,277693,1007425
region,271797,640031
later,270690,95975
commun,270052,3607335
march,262917,844321
gener,259219,2145289
school,255373,1614378
januari,254212,3426271
1,253558,2311505
mani,252073,3213223
well,248517,2724864
speci,247679,1524936
group,247665,2494806
septemb,247240,3513253
intern,246523,1127441
octob,244936,2681363
produc,244810,1895840
west,243574,1456073
becam,241896,2284908
form,241738,3418030
album,241619,502409
juli,241018,2267328
august,239191,581761
peopl,238004,3836539
made,237041,1756172
april,236742,2384044
june,235746,3655368
sever,235004,1597270
seri,233751,3917837
novemb,233252,71826
season,232573,1661220
decemb,230973,1301298
town,230097,1662696
repres,229619,3363067
list,229245,2291926
british,228000,2973265
music,226905,718692
player,226441,2122950
develop,226416,3399275
war,225617,2693132
call,225206,1564340
provinc,225123,3777046
leagu,224269,3744994
hous,222041,825343
english,220904,803773
us,220350,3278296
2,219584,810289
de,219140,1170405
2006,217787,1483183
featur,216510,809101
februari,215995,2384634
number,214578,3274246
east,212427,770515
compani,212051,2668521
game,210574,3429754
2010,208132,3680540
best,208119,3433645
associ,206483,1853013
held,204543,131737
live,204474,2773749
john,201468,466365
3,201467,1455402
profession,201033,3891747
public,199650,14452
direct,199199,2686170
design,198403,3796085
central,197823,1049170
publish,197599,1614407
within,196111,2037194
oper,195424,2279192
major,194276,442833
earli,193442,991739
die,189626,1144119
appear,188903,2845787
4,186789,338614
countri,186158,1734772
end,185495,627958
award,182625,269827
river,182206,2424712
servic,181534,3599009
four,181052,1752919
10,178624,2244018
high,177174,507531
singl,176243,778445
km,175713,775597
govern,175655,2413755
open,175594,457200
offic,174358,1470551
2011,173750,2067201
colleg,173676,3437787
5,173256,2979725
titl,172470,771454
club,172121,3769893
describ,170629,2867614
local,170613,1813667
establish,168909,1183544
event,168781,2162045
built,168481,3769960
song,167478,1397327
politician,166994,709785
censu,166853,1924233
lsb,166540,2048318
book,165507,166569
small,164759,170680
system,163678,117176
6,163528,983563
author,163433,248368
creat,163002,1201393
home,162634,2986244
televis,162580,426072
rsb,162366,1921783
star,162347,984598
histor,162034,623258
york,161932,1888457
station,161584,1254303
receiv,161300,2330574
centuri,161218,2548533
municip,161153,15919
band,160904,3837491
2008,160867,1369303
12,160093,1726365
perform,159225,3464540
written,158858,349726
2012,158077,2008876
categori,157731,2723259
2009,157443,2431818
final,156931,3651057
england,155365,1561652
championship,155125,3249451
15,154937,3749084
2007,153317,402280
near,153171,2676223
elect,153049,2294977
main,152838,1246398
build,152609,460290
provid,151067,2069552
20,150945,710755
start,150084,218790
run,149992,780515
show,149396,1125564
along,148895,1457979
administr,148514,1688084
last,148153,2328086
organ,147740,2377200
2013,147661,1227636
2014,146786,1646349
7,146580,3769909
day,146475,3003013
product,146427,811897
educ,145995,1840903
third,145663,1186532
make,144288,1757306
french,143681,343272
artist,143219,2608435
howev,142746,2595652
larg,142402,1065850
2015,142257,1102658
career,142025,2139487
german,141906,17985
around,141656,1963110
northern,141227,1722992
depart,141021,1846008
lead,140748,1497052
histori,140631,2945773
parti,140400,421465
western,140348,1302863
studi,140001,2428040
2000,139057,1512856
island,138198,1491960
compet,138107,1500366
director,137881,362781
8,137860,1813808
presid,136625,3701437
manag,135699,154865
took,135590,525903
art,135570,3533925
line,134607,2068255
set,133979,2179487
franc,133933,1735493
ii,133758,3147939
11,133492,1361210
2005,132838,3198632
2004,131499,56929
would,131449,2804691
son,130440,3818381
14,130212,3161391
activ,129930,2204942
william,129796,2119149
death,129428,3134577
southern,129295,2742421
16,129142,3800287
30,128527,2088316
center,128433,774522
divis,128413,2244337
support,128354,3647075
move,127280,311388
13,127278,611371
25,127105,2109956
success,126916,3260528
australia,126660,1214189
air,126323,3762246
began,126260,379107
age,125703,3868336
2016,125607,2681740
park,125537,1114486
differ,125131,1137142
becom,124985,3005797
summer,124819,1251961
like,124446,2266116
consist,124360,3818955
five,123840,1858490
9,123041,738842
genu,122820,436221
18,122746,3284031
contain,122558,300099
polit,122475,1290938
head,121793,817412
st,121180,3742155
australian,120891,2731959
close,120886,3035082
roman,120805,3187807
although,120633,118685
forc,120455,2987661
often,120309,434068
long,119635,474660
life,119459,1908520
road,119136,1425022
canada,119052,1985835
17,118748,1262902
present,118561,2495296
continu,118502,3041575
studio,118446,3127806
top,118416,2570138
india,118260,3654799
term,118168,3666735
cover,118046,1025436
approxim,117754,3096462
debut,117190,3540694
role,116862,2737293
remain,116731,2443609
program,116460,491799
offici,115887,2502162
institut,115853,1568542
church,115577,2921604
rock,115482,2965296
order,115254,355002
writer,114899,976700
1990,114827,34876
late,114712,2282104
olymp,114183,3568080
take,113954,1076695
due,113692,163654
among,113675,525235
canadian,113449,1611162
complet,112908,133651
field,112436,2275347
lie,112043,852196
california,111585,1415532
indian,111473,3783463
result,111408,1805825
union,111301,1619069
posit,111243,1347915
popular,110698,194769
germani,110622,1139568
retir,110577,2462234
women,110449,3360967
common,110056,877342
variou,109645,2239762
2003,109502,1458379
period,109486,665240
1980,109214,2440776
addit,109189,2169090
act,109144,916390
24,108588,2892068
capit,108377,275683
21,108242,1470608
london,108163,666508
research,108063,1463129
point,108008,1388719
back,107890,1048238
america,107852,1929584
2002,107604,543516
side,107427,3491891
22,107205,3229883
notabl,106893,2088397
return,106664,629978
independ,106613,2335756
person,106410,2225466
special,106331,2174734
consid,106244,2377057
accord,105764,1855074
19,105542,2846727
win,105390,291146
2001,105361,2882252
rural,104584,298813
great,104200,3077661
mean,103898,150087
men,103791,2550137
chang,103329,2157419
join,103262,2900536
23,103231,1459088
land,102988,2192500
scienc,102796,3137671
competit,101707,556423
eastern,101674,3755384
total,101622,282784
collect,101170,1811914
stori,101019,1087471
natur,100943,1073881
georg,100557,3571033
import,100494,1839843
council,100408,5188
compos,100403,1103665
site,100067,3000949
